date,day_index,forecasted_demand
2025-10-01,100,270.1006060606061
2025-10-02,101,270.1550735073508
2025-10-03,102,270.2095409540955
2025-10-04,103,270.2640084008401
2025-10-05,104,270.3184758475848
2025-10-06,105,270.37294329432945
2025-10-07,106,270.42741074107414
2025-10-08,107,270.48187818781884
2025-10-09,108,270.5363456345635
2025-10-10,109,270.59081308130817
2025-10-11,110,270.64528052805287
2025-10-12,111,270.6997479747975
2025-10-13,112,270.7542154215422
2025-10-14,113,270.80868286828684
2025-10-15,114,270.86315031503153
2025-10-16,115,270.9176177617762
2025-10-17,116,270.97208520852087
2025-10-18,117,271.02655265526556
2025-10-19,118,271.08102010201026
2025-10-20,119,271.1354875487549
2025-10-21,120,271.1899549954996
2025-10-22,121,271.2444224422443
2025-10-23,122,271.2988898889889
2025-10-24,123,271.3533573357336
2025-10-25,124,271.40782478247826
2025-10-26,125,271.46229222922295
2025-10-27,126,271.51675967596765
2025-10-28,127,271.5712271227123
2025-10-29,128,271.625694569457
2025-10-30,129,271.6801620162017
